epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.2797,1.27036,1.55797,1.39998,0.72201,0.75183,0.77453,0.51616,1.11847,0.94931,1.26328,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094
2,152.097,1.21938,1.1331,1.29999,0.69314,0.72977,0.7463,0.47556,1.20463,1.03496,1.31312,0.0198969,0.00663232,0.0198969,0.00663232,0.0198969,0.00663232,0.0198969,0.00663232
3,222.731,1.32611,1.26967,1.37377,0.63099,0.64376,0.63945,0.38409,1.31858,1.48732,1.43062,0.0297651,0.00992169,0.0297651,0.00992169,0.0297651,0.00992169,0.0297651,0.00992169
4,290.725,1.36724,1.30491,1.40692,0.73471,0.66748,0.72013,0.44326,1.26884,1.12503,1.3974,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,358.702,1.33919,1.24572,1.40512,0.7354,0.6456,0.71336,0.44851,1.26884,1.1072,1.41081,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,427.165,1.30531,1.19178,1.38911,0.69907,0.69432,0.72777,0.46631,1.24256,1.04173,1.36646,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,495.091,1.27124,1.13911,1.36641,0.69674,0.76944,0.77383,0.50058,1.17061,0.93828,1.33931,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,562.472,1.24739,1.0859,1.35341,0.82176,0.72982,0.80722,0.54181,1.11378,0.85248,1.28605,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,629.752,1.21834,1.04393,1.33584,0.76477,0.77541,0.81536,0.55031,1.09448,0.81486,1.27283,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,696.754,1.19651,1.01245,1.31844,0.79378,0.80122,0.83729,0.57314,1.07799,0.77273,1.24395,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,764.183,1.17885,0.97991,1.30747,0.79476,0.81559,0.84923,0.59002,1.04014,0.74431,1.23907,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,833.471,1.16604,0.95701,1.3079,0.7986,0.82287,0.85389,0.5986,1.02456,0.70969,1.2367,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,901.592,1.15514,0.9421,1.29888,0.81498,0.8139,0.85223,0.6053,1.00427,0.70187,1.20703,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,969.332,1.1283,0.91466,1.27578,0.81781,0.81874,0.85869,0.60979,1.00654,0.69131,1.21074,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1035.71,1.12186,0.89038,1.26851,0.81613,0.84155,0.87202,0.62513,0.98921,0.65936,1.18843,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1103.44,1.10537,0.86705,1.26051,0.84442,0.83902,0.88431,0.64304,0.95131,0.62768,1.18,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1171.64,1.09127,0.85262,1.25698,0.84565,0.8452,0.88711,0.63972,0.93911,0.60878,1.17371,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1239.42,1.08002,0.8385,1.24759,0.84737,0.8453,0.89144,0.64906,0.95063,0.61272,1.16981,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1307.44,1.06443,0.8124,1.23811,0.86383,0.85975,0.90244,0.66902,0.90566,0.57445,1.14357,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1375.69,1.05968,0.81558,1.23165,0.86485,0.86241,0.90246,0.67267,0.89154,0.55766,1.13324,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1443.04,1.03527,0.78411,1.2212,0.86675,0.87156,0.90896,0.67977,0.89122,0.54306,1.1303,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1510.26,1.02744,0.76707,1.20909,0.8903,0.87668,0.9159,0.68988,0.86438,0.5163,1.11686,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1577.92,1.02139,0.76129,1.20991,0.87251,0.87546,0.91434,0.69536,0.85001,0.52022,1.11213,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1645.64,1.01043,0.74897,1.20201,0.88701,0.87514,0.91926,0.70319,0.83724,0.5068,1.09402,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1713.45,0.99752,0.74141,1.1941,0.88573,0.88657,0.92307,0.70567,0.83414,0.50076,1.0972,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1781.56,0.99497,0.72449,1.18701,0.88313,0.88988,0.9242,0.71538,0.81106,0.48184,1.08084,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1849.23,0.97661,0.70867,1.17835,0.90747,0.88321,0.92913,0.71855,0.81216,0.46687,1.07264,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1917.08,0.97305,0.7033,1.17265,0.89891,0.89576,0.93642,0.72664,0.79512,0.463,1.07001,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1984.51,0.96124,0.68827,1.1678,0.90895,0.90535,0.9419,0.73737,0.77506,0.44198,1.05895,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2052.58,0.95293,0.68724,1.16699,0.9082,0.90705,0.94326,0.74258,0.76278,0.44003,1.04864,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2122,0.9385,0.67418,1.15569,0.91058,0.90438,0.94429,0.74754,0.75522,0.43504,1.04413,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2192.67,0.93025,0.66776,1.1433,0.9169,0.91844,0.95118,0.75327,0.74397,0.4203,1.03153,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2263.36,0.9114,0.64446,1.13678,0.92914,0.91771,0.95413,0.76123,0.73169,0.4117,1.02412,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2334.1,0.91414,0.64935,1.1342,0.92308,0.92006,0.95337,0.76395,0.71665,0.40461,1.01574,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2404.7,0.90298,0.63809,1.13085,0.93694,0.92377,0.95693,0.77411,0.69767,0.38664,1.00461,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2474.84,0.89256,0.62794,1.12236,0.93315,0.9247,0.95636,0.77582,0.69075,0.3828,1.00393,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2542.51,0.87864,0.6125,1.11,0.93581,0.93367,0.962,0.78526,0.67942,0.375,0.99125,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2610.2,0.87495,0.61408,1.11231,0.92886,0.93421,0.96021,0.78601,0.67553,0.37155,0.99116,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2677.87,0.87173,0.61502,1.10705,0.94158,0.93215,0.96289,0.78512,0.67235,0.36697,0.98456,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2745.54,0.85692,0.6046,1.10252,0.94277,0.93498,0.96622,0.7961,0.65224,0.35443,0.97566,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2813.55,0.8492,0.59165,1.09404,0.9385,0.9443,0.96809,0.8018,0.64076,0.34599,0.96576,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2881.06,0.84661,0.59153,1.09133,0.94857,0.94278,0.97226,0.80961,0.62787,0.33848,0.9567,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2948.62,0.8424,0.58408,1.0865,0.94608,0.94534,0.97181,0.81103,0.62547,0.34138,0.95564,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3015.58,0.83201,0.58041,1.08463,0.95651,0.9454,0.97447,0.81751,0.60968,0.33298,0.94565,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3082.68,0.82498,0.5785,1.08249,0.95444,0.95179,0.9761,0.82528,0.59453,0.32489,0.93846,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3149.87,0.81354,0.56223,1.06946,0.9551,0.94981,0.97643,0.82943,0.58422,0.31625,0.93045,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3216.81,0.81486,0.56512,1.07167,0.95153,0.95416,0.97457,0.82534,0.58738,0.31893,0.93265,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3283.64,0.79905,0.55415,1.06072,0.95482,0.96084,0.98033,0.83574,0.57512,0.30986,0.92299,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3350.94,0.80083,0.55705,1.06663,0.9618,0.95898,0.97993,0.83721,0.57034,0.30872,0.92303,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3419.79,0.78851,0.54179,1.05565,0.96555,0.96009,0.98,0.84357,0.55747,0.29767,0.91211,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3488.82,0.78021,0.53887,1.05189,0.96666,0.96438,0.98136,0.84609,0.54548,0.29295,0.90656,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3557.88,0.77109,0.53377,1.04358,0.96669,0.96511,0.98203,0.84779,0.54361,0.2894,0.90706,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3627.01,0.76318,0.52272,1.03973,0.97165,0.96231,0.98429,0.85421,0.53056,0.28492,0.89956,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3695.98,0.76697,0.5316,1.0427,0.97408,0.96432,0.98553,0.85727,0.52649,0.28371,0.89632,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3762.93,0.75929,0.52362,1.03845,0.97159,0.96551,0.98535,0.85989,0.52122,0.27954,0.89344,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3830.71,0.75184,0.51876,1.03733,0.97224,0.96929,0.98697,0.8656,0.50848,0.27402,0.89066,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3899.67,0.75427,0.52015,1.03482,0.97452,0.97088,0.98678,0.8685,0.4992,0.26983,0.88324,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3967.7,0.74613,0.51809,1.03231,0.97748,0.97516,0.98887,0.87344,0.49494,0.26778,0.88284,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
