epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.8243,1.3344,3.99401,0.0109,0.47432,0.49446,0.46643,0.29666,1.23191,3.10118,0.01354,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094,0.00996283,0.00332094
2,84.0996,1.31275,2.42002,0.01053,0.64024,0.62109,0.65721,0.42422,1.22675,2.01216,0.01355,0.0198969,0.00663232,0.0198969,0.00663232,0.0198969,0.00663232,0.0198969,0.00663232
3,115.649,1.35561,1.89803,0.01088,0.68298,0.63575,0.65274,0.40313,1.33122,1.70636,0.01482,0.0297651,0.00992169,0.0297651,0.00992169,0.0297651,0.00992169,0.0297651,0.00992169
4,146.96,1.38906,1.65345,0.01128,0.70604,0.65636,0.70435,0.44788,1.30003,1.23197,0.01432,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,179.967,1.38771,1.50228,0.01133,0.66491,0.69039,0.72029,0.46394,1.26031,1.20245,0.01409,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,212.611,1.37306,1.43135,0.01109,0.77796,0.71392,0.76819,0.50572,1.23261,0.99854,0.01352,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,245.95,1.36522,1.35793,0.01104,0.74713,0.69426,0.76032,0.49754,1.24298,1.01056,0.01373,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,279.387,1.35159,1.3089,0.0108,0.81873,0.71423,0.77282,0.51225,1.23393,0.9794,0.01356,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,313.948,1.34269,1.27158,0.01085,0.83483,0.72604,0.79257,0.52323,1.23885,0.90226,0.01363,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,349.099,1.33715,1.25251,0.01075,0.83893,0.72727,0.79728,0.53148,1.19575,0.89119,0.01306,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,382.687,1.33482,1.21454,0.01059,0.76795,0.77088,0.80862,0.54132,1.18197,0.85664,0.01281,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,416.151,1.32997,1.21313,0.01063,0.76641,0.75766,0.82106,0.55472,1.16972,0.83033,0.01269,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,446.076,1.31233,1.18585,0.01051,0.76609,0.78711,0.81809,0.55498,1.16784,0.82797,0.0126,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,476.185,1.30938,1.17318,0.01042,0.81009,0.75068,0.81593,0.55746,1.14617,0.82226,0.01232,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
